"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-23","   50","   60",,,,"0.00","  100","0.0","0.0",,"57","25","  666",,,,,"  315",,,,,,"17.9",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-24","   60","   80",,,,"0.00","   99","0.0","0.0",,"61","21","  666",,,,,"  270",,,,,,"21.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-25","   90","   90",,,,"0.08","   17","0.0","0.0",,"58","22","  114",,,,,"  360",,,,,,"29.1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-26","   10","    0",,,,"0.00","  100","0.0","0.0",,"33","11","  678",,,,,"  360",,,,,,"23.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-27","   30","   30",,,,"0.00","   89","0.0","0.0",,"58","22","  600",,,,,"  225",,,,,,"19.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-02-28","   50","   70",,,,"0.00","   93","0.0","0.0",,"51","25","  630",,,,,"   45",,,,,,"15.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-01","   70","   70",,,,"0.00","   60","0.0","0.0",,"50","22","  408",,,,,"  225",,,,,,"10.1",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-02","   90","   90",,,,"0.00","   20","0.0","0.0",,"62","35","  138",,,,,"  270",,,,,,"11.0",,,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-03","  100","  100",,,,"0.01","    0","0.0","0.0",,"48","37","    0",,,,,"   45",,,,,,"15.0","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-04","  100","  100",,,,"0.38","    0","0.0","0.0",,"50","36","    0",,,,,"  315",,,,,,"11.0","    1","    1",,,,,,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-05","  100","  100",,,,"0.00","    0","0.0","0.0",,"53","42","    0",,,,,"  360",,,,,,"21.0","    1","    1",,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-06","   50","   30",,,,"0.00","   90","0.0","0.0",,"51","28","  630",,,,,"   45",,,,,,"17.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-07","   30","   20",,,,"0.00","   97","0.0","0.0",,"58","25","  672",,,,,"  225",,,,,,"14.1",,,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-08","   40","   20",,,,"0.00","   90","0.0","0.0",,"65","30","  630",,,,,"   45",,,,,,"16.1","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-09","   40","   20",,,,"0.00","   89","0.0","0.0",,"50","30","  624",,,,,"   45",,,,,,"16.1",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-10","   70","   80",,,,"0.00","   67","0.0","0.0",,"53","27","  468",,,,,"  135",,,,,,"6.0",,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-11","   50","   30",,,,"0.00","   95","0.0","0.0",,"60","33","  672",,,,,"   45",,,,,,"14.1",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-12","  100","  100",,,,"0.23","    0","0.0","0.0",,"42","33","    0",,,,,"   45",,,,,,"16.1","    1",,"    1",,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-13","   90","   90",,,,"0.01","    7","0.0","0.0",,"47","33","   48",,,,,"  315",,,,,,"15.0","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-14","   60","   60",,,,"0.00","   68","0.0","0.0",,"46","25","  486",,,,,"  315",,,,,,"19.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-15","   70","   80",,,,"0.00","   63","0.0","0.0",,"42","19","  450",,,,,"  225",,,,,,"15.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-16","   10","    0",,,,"0.00","  100","0.0","0.0",,"47","21","  720",,,,,"  270",,,,,,"15.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-17","   50","   50",,,,"0.00","   91","0.0","0.0",,"50","19","  654",,,,,"  135",,,,,,"11.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-18","  100","  100",,,,"0.73","    0","0.0","0.0",,"46","36","    0",,,,,"   45",,,,,,"12.1","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-19","  100","  100",,,,"0.00","    0","0.0","0.0",,"46","36","    0",,,,,"   90",,,,,,"10.1","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-20","  100","  100",,,,"0.51","    0","0.0","0.0",,"46","40","    0",,,,,"  135",,,,,,"8.9","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-21","  100","  100",,,,"0.01","   44","0.0","0.0",,"59","44","  318",,,,,"  315",,,,,,"14.1","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-22","   90","  100",,,,"0.32","    0","0.0","0.0",,"45","34","    0",,,,,"   45",,,,,,"13.0","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-23","   70","   50",,,,"0.00","   78","0.0","0.0",,"59","34","  570",,,,,"  270",,,,,,"23.9","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-24","   40","   70",,,,"0.00","   78","0.0","0.0",,"58","34","  576",,,,,"  270",,,,,,"21.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-25","   30","   50",,,,"0.00","   98","0.0","0.0",,"67","28","  726",,,,,"   90",,,,,,"17.0",,,,,,,,,,,,,,,,,,,,
